Date_________JDUT     R.A._(J2000.0)_DEC.            delta      deldot
**********************************************************************
$$SOE
2456927.500000000     232.29026 -19.41930 1.28839845044052   0.5735122
2456928.500000000     233.30287 -19.64251 1.28873367882692   0.5872358
2456929.500000000     234.31834 -19.86008 1.28907678528261   0.6008058
2456930.500000000     235.33663 -20.07191 1.28942770759889   0.6143164
2456931.500000000     236.35769 -20.27792 1.28978644190352   0.6278749
2456932.500000000     237.38149 -20.47806 1.29015309119492   0.6415987
2456933.500000000     238.40791 -20.67218 1.29052770319315   0.6556126
2456934.500000000     239.43693 -20.86022 1.29091052185193   0.6700356
2456935.500000000     240.46848 -21.04213 1.29130181545950   0.6849730
2456936.500000000     241.50249 -21.21781 1.29170190315454   0.7004943
2456937.500000000     242.53891 -21.38719 1.29211113006847   0.7166168
2456938.500000000     243.57768 -21.55021 1.29252983356120   0.7332962
2456939.500000000     244.61874 -21.70679 1.29295830938779   0.7504306
2456940.500000000     245.66202 -21.85687 1.29339677782818   0.7678763
2456941.500000000     246.70746 -22.00039 1.29384537605947   0.7854782
2456942.500000000     247.75501 -22.13728 1.29430414839844   0.8030821
2456943.500000000     248.80460 -22.26749 1.29477305635082   0.8205544
2456944.500000000     249.85615 -22.39096 1.29525199409384   0.8377967
2456945.500000000     250.90958 -22.50763 1.29574080287485   0.8547228
2456946.500000000     251.96482 -22.61746 1.29623928293329   0.8712776
2456947.500000000     253.02178 -22.72040 1.29674720827622   0.8874201
2456948.500000000     254.08037 -22.81640 1.29726432632098   0.9031049
2456949.500000000     255.14049 -22.90541 1.29779036464679   0.9183025
2456950.500000000     256.20204 -22.98740 1.29832503265185   0.9329817
2456951.500000000     257.26492 -23.06233 1.29886802511967   0.9471193
2456952.500000000     258.32902 -23.13016 1.29941901754399   0.9606838
2456953.500000000     259.39424 -23.19087 1.29997767783584   0.9736727
2456954.500000000     260.46045 -23.24442 1.30054367293365   0.9860811
2456955.500000000     261.52754 -23.29079 1.30111667385337   0.9979374
2456956.500000000     262.59538 -23.32996 1.30169637455187   1.0092929
2456957.500000000     263.66384 -23.36191 1.30228250505585   1.0202131
2456958.500000000     264.73280 -23.38662 1.30287484074631   1.0307970
2456959.500000000     265.80212 -23.40409 1.30347321935217   1.0411580
2456960.500000000     266.87167 -23.41430 1.30407754862091   1.0514240
2456961.500000000     267.94131 -23.41725 1.30468781110381   1.0617244
2456962.500000000     269.01090 -23.41293 1.30530406589769   1.0721905
2456963.500000000     270.08032 -23.40139 1.30592627670551   1.0829266
2456964.500000000     271.14944 -23.38256 1.30655495240640   1.0940314
2456965.500000000     272.21814 -23.35649 1.30719016262488   1.1055591
2456966.500000000     273.28629 -23.32318 1.30783215797251   1.1175243
2456967.500000000     274.35378 -23.28265 1.30848118022202   1.1298803
2456968.500000000     275.42050 -23.23492 1.30913743465271   1.1425503
2456969.500000000     276.48635 -23.18001 1.30980107240637   1.1554254
2456970.500000000     277.55123 -23.11794 1.31047217298263   1.1683705
2456971.500000000     278.61504 -23.04874 1.31115074132653   1.1812636
2456972.500000000     279.67768 -22.97244 1.31183671459351   1.1939959
2456973.500000000     280.73906 -22.88908 1.31252997010057   1.2064630
2456974.500000000     281.79909 -22.79868 1.31323033192828   1.2185912
2456975.500000000     282.85767 -22.70130 1.31393758506776   1.2303160
2456976.500000000     283.91471 -22.59696 1.31465148145192   1.2415859
2456977.500000000     284.97012 -22.48573 1.31537174364659   1.2523509
2456978.500000000     286.02382 -22.36764 1.31609806641338   1.2625638
2456979.500000000     287.07572 -22.24274 1.31683011860231   1.2721807
2456980.500000000     288.12573 -22.11110 1.31756753917198   1.2811464
2456981.500000000     289.17378 -21.97277 1.31830994059710   1.2894210
2456982.500000000     290.21978 -21.82780 1.31905691292243   1.2969691
2456983.500000000     291.26364 -21.67627 1.31980803190866   1.3037797
2456984.500000000     292.30530 -21.51823 1.32056287328380   1.3098636
2456985.500000000     293.34467 -21.35376 1.32132102950659   1.3152690
2456986.500000000     294.38166 -21.18292 1.32208213138317   1.3200807
2456987.500000000     295.41622 -21.00579 1.32284587105792   1.3244205
2456988.500000000     296.44824 -20.82244 1.32361201049174   1.3284192
2456989.500000000     297.47768 -20.63295 1.32438039832785   1.3322307
2456990.500000000     298.50445 -20.43741 1.32515096854470   1.3359992
2456991.500000000     299.52850 -20.23589 1.32592373455501   1.3398538
2456992.500000000     300.54976 -20.02847 1.32669877783630   1.3438997
2456993.500000000     301.56818 -19.81523 1.32747414907641   1.3482105
2456994.500000000     302.58375 -19.59627 1.32825417992987   1.3528268
2456995.500000000     303.59641 -19.37166 1.32903696651923   1.3577508
2456996.500000000     304.60614 -19.14150 1.32982268060053   1.3629558
2456997.500000000     305.61292 -18.90587 1.33061146776538   1.3683796
2456998.500000000     306.61674 -18.66486 1.33140342981963   1.3739361
2456999.500000000     307.61758 -18.41855 1.33219861947417   1.3795377
2457000.500000000     308.61545 -18.16703 1.33299703326284   1.3850842
2457001.500000000     309.61035 -17.91040 1.33379861171328   1.3904810
2457002.500000000     310.60228 -17.64875 1.33460324358188   1.3956442
2457003.500000000     311.59126 -17.38216 1.33541077236882   1.4005006
2457004.500000000     312.57728 -17.11072 1.33622100162631   1.4049851
2457005.500000000     313.56038 -16.83454 1.33703369931020   1.4090384
2457006.500000000     314.54056 -16.55371 1.33784860003429   1.4126040
2457007.500000000     315.51784 -16.26832 1.33866540541186   1.4156235
2457008.500000000     316.49225 -15.97846 1.33948378203093   1.4180338
2457009.500000000     317.46381 -15.68424 1.34030335902423   1.4197693
2457010.500000000     318.43255 -15.38574 1.34112372821817   1.4207663
2457011.500000000     319.39849 -15.08308 1.34194444464998   1.4209631
2457012.500000000     320.36166 -14.77634 1.34276503446447   1.4203246
2457013.500000000     321.32209 -14.46562 1.34358501275219   1.4188490
2457014.500000000     322.27980 -14.15104 1.34440390693138   1.4165828
2457015.500000000     323.23481 -13.83269 1.34522128608194   1.4136236
2457016.500000000     324.18716 -13.51067 1.34603678950418   1.4101141
2457017.500000000     325.13687 -13.18509 1.34685014714787   1.4062228
2457018.500000000     326.08396 -12.85605 1.34766118874070   1.4021222
2457019.500000000     327.02847 -12.52365 1.34846983971753   1.3979690
2457020.500000000     327.97042 -12.18801 1.34927610802639   1.3938904
2457021.500000000     328.90987 -11.84921 1.35008006599869   1.3899808
2457022.500000000     329.84685 -11.50737 1.35088182684944   1.3862918
2457023.500000000     330.78141 -11.16258 1.35168153039741   1.3828622
2457024.500000000     331.71372 -10.81500 1.35248202547934   1.3797129
2457025.500000000     332.64362 -10.46462 1.35327807501381   1.3767776
2457026.500000000     333.57128 -10.11159 1.35407248754311   1.3740358
2457027.500000000     334.49676  -9.75600 1.35486535902040   1.3714316
2457028.500000000     335.42014  -9.39797 1.35565674996592   1.3688974
